"","Exercise"
"1","Cable Flyes"
"4","One leg cobra"
"5","Shoulder Press"
"6","Upright Row"
"7","Reverse Bicep Curls"
"8","Front Lateral Raise"
"9","Concentration Curls"
"10","Leg Raise"
"11","Straight Arm Pullover"
"12","One-Arm Rows"
"13","Triceps Extension"
"14","bench reverse press"
"37","Standing Side Bend"
"38","Standing Crunch"
"39","Decline Crunches"
"44","Laying Elbow-back Lifts"
"47","Laying Leg Lift And Hold"
"50","Laying Heel Touches"
"53","Plank"
"56","Superman"
"59","Cobra"
"63","Side Plank Bends"
"64","Cuban Press"
"65","High Plank Pull-Through"
"66","Incline Curls"
"67","Triceps Kickbacks"
"68","Incline Press"
"69","Incline Spider Curls"
"70","Incline Row"
"71","Incline Two Arm Extension"
"75","Arnold Press"
"97","Standing Heel Raises"
"98","Shoulder Shrug"
"99","Bent-over Flyes"
"100","Russian Twist"
"101","Renegade Row"
"102","Tricep Throwback"
"103","Kneeling Wood Throws"
"104","Biceps Curl"
"106","Bench Press"
"107","Hammer Curls"
"108","Overhead Triceps Extensions"
"109","Lateral Raise"
"323","Cable Kneeling Crunchs"
"326","Cable Internal Rotation"
"367","Kettlebell One-leg Opposite-side Deadlift"
"368","Kettlebell Laying Hip Thrust"
"369","Kettlebell Slingshot"
"370","Kettlebell Figure-8s"
"371","Kettlebell Swing"
"372","Kettlebell Woodchop Swing"
"373","Kettlebell One-Hand Side Swing"
"374","Kettlebell One-leg Same-side Deadlift"
"442","Hanging Alternating Leg Lift/knee Lift"
"458","sitting ab crunch machine"
"554","Flyes"
"569","Standing Knee Lift With Twist"
"664","High Bicep Curls"
"680","Ab Twist Machine"
